algorithm,input_type,n,time_ns,max_depth,metric_name,metric_value
MergeSort,random,100,68580,3,comparisons,621
MergeSort,random,500,505907,5,comparisons,4731
MergeSort,random,1000,1075395,6,comparisons,10274
MergeSort,random,2000,2480513,7,comparisons,22501
MergeSort,random,5000,6940688,9,comparisons,58489
MergeSort,random,10000,15741417,10,comparisons,126716
MergeSort,sorted,100,36888,3,comparisons,244
MergeSort,sorted,500,261640,5,comparisons,1728
MergeSort,sorted,1000,594315,6,comparisons,3956
MergeSort,sorted,2000,1309784,7,comparisons,8912
MergeSort,sorted,5000,4344263,9,comparisons,27124
MergeSort,sorted,10000,10425613,10,comparisons,59248
MergeSort,reverse,100,68425,3,comparisons,724
MergeSort,reverse,500,544607,5,comparisons,4900
MergeSort,reverse,1000,1375948,6,comparisons,10300
MergeSort,reverse,2000,2522044,7,comparisons,21600
MergeSort,reverse,5000,6518985,9,comparisons,44324
MergeSort,reverse,10000,14103454,10,comparisons,93648
MergeSort,duplicates,100,62642,3,comparisons,634
MergeSort,duplicates,500,462571,5,comparisons,4328
MergeSort,duplicates,1000,1035427,6,comparisons,9733
MergeSort,duplicates,2000,2204315,7,comparisons,21662
MergeSort,duplicates,5000,6742662,9,comparisons,55836
MergeSort,duplicates,10000,13649600,10,comparisons,121726
QuickSort,random,100,127925,3,comparisons,780
QuickSort,random,500,727342,5,comparisons,4762
QuickSort,random,1000,1799192,5,comparisons,10275
QuickSort,random,2000,3807134,5,comparisons,24728
QuickSort,random,5000,10584206,7,comparisons,67869
QuickSort,random,10000,22791249,7,comparisons,166426
QuickSort,sorted,100,97319,2,comparisons,699
QuickSort,sorted,500,595355,4,comparisons,4709
QuickSort,sorted,1000,1376376,5,comparisons,10967
QuickSort,sorted,2000,2801950,6,comparisons,22595
QuickSort,sorted,5000,8532518,6,comparisons,71497
QuickSort,sorted,10000,17006622,7,comparisons,154592
QuickSort,reverse,100,132175,3,comparisons,637
QuickSort,reverse,500,720588,4,comparisons,4891
QuickSort,reverse,1000,1503617,5,comparisons,10522
QuickSort,reverse,2000,4294945,5,comparisons,25801
QuickSort,reverse,5000,10226497,7,comparisons,74950
QuickSort,reverse,10000,19248932,8,comparisons,153088
QuickSort,duplicates,100,125386,2,comparisons,743
QuickSort,duplicates,500,1080799,2,comparisons,14030
QuickSort,duplicates,1000,3412512,2,comparisons,53722
QuickSort,duplicates,2000,11367436,2,comparisons,213610
QuickSort,duplicates,5000,60233222,2,comparisons,1270880
QuickSort,duplicates,10000,229661154,2,comparisons,5035400
DeterministicSelect,random,100,59196,2,comparisons,348
DeterministicSelect,random,1000,1264663,4,comparisons,7478
DeterministicSelect,random,5000,6200756,5,comparisons,38987
DeterministicSelect,random,10000,11489378,5,comparisons,80413
DeterministicSelect,sorted,100,73568,2,comparisons,509
DeterministicSelect,sorted,1000,942476,4,comparisons,6314
DeterministicSelect,sorted,5000,4819280,5,comparisons,33478
DeterministicSelect,sorted,10000,9673897,5,comparisons,67923
DeterministicSelect,reverse,100,82058,2,comparisons,668
DeterministicSelect,reverse,1000,981607,4,comparisons,7459
DeterministicSelect,reverse,5000,5153234,5,comparisons,38574
DeterministicSelect,reverse,10000,10249661,5,comparisons,77006
DeterministicSelect,duplicates,100,105671,2,comparisons,800
DeterministicSelect,duplicates,1000,7557148,4,comparisons,44726
DeterministicSelect,duplicates,5000,458886851,5,comparisons,2835060
DeterministicSelect,duplicates,10000,4706921003,5,comparisons,31817988
ClosestPair,random,100,356709,6,comparisons,655
ClosestPair,random,500,1899203,8,comparisons,5367
ClosestPair,random,1000,4156018,9,comparisons,12055
ClosestPair,random,2000,8733266,10,comparisons,26816
ClosestPair,random,5000,23157033,11,comparisons,73580
